Time;Barometric_Pressure;Dewpoint;Height;Latitude;Longitude;Precipitation_Intensity;Precipitation_Total;Rel._Humidity;Solar_Radiation;Temperature;Wind_Direction;Wind_Speed;NO;NO2;NOx;CO;Dichot_Mass_Concentration_µg/m³;Mass_Concentration_A;Mass_Concentration_B;O3;SO2;Barometric_Pressure;Dewpoint;Height;Latitude;Longitude;Precipitation_Intensity;Precipitation_Total;Rel._Humidity;Solar_Radiation;Temperature;Wind_Direction;Wind_Speed;NO;NO2;NOx;CO;Dichot_Mass_Concentration_µg/m³;Mass_Concentration_A;Mass_Concentration_B;O3;SO2;Barometric_Pressure;Dewpoint;Height;Latitude;Longitude;Precipitation_Intensity;Precipitation_Total;Rel._Humidity;Solar_Radiation;Temperature;Wind_Direction;Wind_Speed;NO;NO2;NOx;CO;Dichot_Mass_Concentration_µg/m³;Mass_Concentration_A;Mass_Concentration_B;O3;SO2
2019-09-05 09:00:00;1001.61;26.25;36.27;22.26;114.13;0;0;83.13;678.33;29.26;3.92;0.6;5.46;3.74;9.2;0.34;5.43;2.91;2.53;12.46;3.45;1001.4;26.15;36.68;22.26;114.13;0;0;83.53;484.99;29.13;336.8;0.69;5.48;3.61;9.09;0.34;5.11;2.68;2.43;12.77;3.38;1001.38;26.21;35.17;22.26;114.13;0;0;84.52;464.33;29;293.43;0.24;4.31;2.91;7.22;0.31;4.97;4.2;0.77;14.79;3.26
2019-09-05 09:01:00;1001.74;26.34;36;22.26;114.13;0;0;83;754.1;29.45;354.27;0.37;5.46;3.8;9.27;0.34;6.3;3.52;2.78;11.85;3.62;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:02:00;1001.8;26.53;35.84;22.26;114.13;0;0;83;653.88;29.65;343.89;0.1;5.47;3.87;9.34;0.34;6.3;3.52;2.78;11.89;3.59;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:03:00;1001.79;26.66;35.67;22.26;114.13;0;0;82.98;525.9;29.85;280.15;0.33;5.43;3.83;9.26;0.34;6.3;3.52;2.78;12.03;3.56;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:04:00;1001.63;26.3;35.59;22.26;114.13;0;0;81.95;462.9;29.61;169.22;0.53;5.34;3.73;9.07;0.33;6.3;3.52;2.78;12.28;3.52;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:05:00;1001.65;26.27;35.59;22.26;114.13;0;0;82.02;522.18;29.54;196.49;0.63;5.21;3.59;8.8;0.33;6.3;3.52;2.78;12.5;3.48;1001.72;26.42;35.74;22.26;114.13;0;0;82.59;583.79;29.62;218.43;0.15;5.38;3.77;9.15;0.33;6.3;3.52;2.78;12.11;3.55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:06:00;1001.7;26.4;35.47;22.26;114.13;0;0;83;630.72;29.58;263.7;0.37;5.09;3.51;8.6;0.32;6.47;3.62;2.85;12.89;3.43;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:07:00;1001.77;26.79;35.3;22.26;114.13;0;0;82.98;646.75;29.94;108.09;0.42;5.05;3.49;8.54;0.31;6.75;3.8;2.96;13.33;3.42;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:08:00;1001.83;26.59;35.15;22.26;114.13;0;0;81.68;682.3;30;172.62;0.74;5.15;3.35;8.5;0.31;6.75;3.8;2.96;13.69;3.35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2019-09-05 09:09:00;1001.8;26.16;35.17;22.26;114.13;0;0;81.42;731.57;29.56;190.52;1.03;5.27;3.22;8.49;0.3;6.75;3.8;2.96;13.83;3.31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
